video_id,brand_id,post_order,hook_type,pacing_cuts_per_10s,has_onscreen_text,onscreen_text_early,video_len_sec,audio_energy,visual_style_cluster,performance_score
v0,brand_A,0,product_first,7.66,0,1,39.1,0.16,2,53.18
v1,brand_A,1,story,5.21,1,0,9.1,0.97,3,52.91
v2,brand_A,2,bold_claim,2.27,0,0,23.8,0.52,3,50.92
v3,brand_A,3,bold_claim,1.33,1,1,20.1,0.09,2,56.96
v4,brand_A,4,product_first,4.6,1,0,10.4,0.61,4,56.31
v5,brand_A,5,question,7.76,1,1,23.8,0.1,3,83.02
v6,brand_A,6,product_first,4.08,0,1,33.7,0.03,0,66.69
v7,brand_A,7,bold_claim,3.98,1,1,37.5,0.03,1,55.44
v8,brand_A,8,bold_claim,4.15,1,1,56.2,0.73,3,61.6
v9,brand_A,9,story,2.9,0,1,26.6,0.28,3,57.64
v10,brand_A,10,story,1.99,0,0,11.9,0.99,0,58.53
v11,brand_A,11,pattern_interrupt,6.53,0,0,56.2,0.65,3,49.25
v12,brand_A,12,question,5.36,1,0,11.3,0.31,4,86.26
v13,brand_A,13,pattern_interrupt,4.93,0,0,58.5,0.85,4,57.78
v14,brand_A,14,bold_claim,2.65,1,0,10.1,0.71,1,58.69
v15,brand_A,15,product_first,4.94,1,1,15.2,0.6,2,65.56
v16,brand_A,16,story,2.6,1,0,23.1,0.16,1,41.76
v17,brand_A,17,story,7.1,1,1,17.7,0.89,2,73.08
v18,brand_A,18,bold_claim,1.85,0,0,55.2,0.27,2,50.08
v19,brand_A,19,question,3.13,1,1,35.8,0.48,0,89.81
v20,brand_A,20,pattern_interrupt,2.89,1,0,16.8,0.22,0,49.22
v21,brand_A,21,bold_claim,7.74,1,0,33.9,0.3,0,48.76
v22,brand_A,22,question,2.87,1,1,29.4,0.03,0,99.47
v23,brand_A,23,story,4.43,1,1,20.6,0.67,2,78.05
v24,brand_A,24,pattern_interrupt,2.7,1,1,32.5,0.98,2,74.36
v25,brand_A,25,question,3.25,1,1,10.1,0.59,2,97.57
v26,brand_A,26,product_first,1.12,0,0,19.8,0.65,3,48.25
v27,brand_A,27,bold_claim,6.86,0,1,46.2,0.21,1,52.88
v28,brand_A,28,pattern_interrupt,2.6,1,1,59.1,0.52,0,55.74
v29,brand_A,29,product_first,4.91,1,0,17.8,0.28,2,53.77
v30,brand_A,30,pattern_interrupt,6.99,1,1,54.2,0.85,0,60.16
v31,brand_A,31,story,2.99,1,1,33.3,0.45,4,60.85
v32,brand_A,32,question,2.23,1,0,33.7,0.18,2,84.47
v33,brand_A,33,product_first,4.56,1,0,21.0,0.59,4,73.77
v34,brand_A,34,pattern_interrupt,7.24,0,0,49.3,0.5,3,46.33
v35,brand_A,35,product_first,6.06,0,1,9.3,0.65,0,64.2
v36,brand_A,36,product_first,7.58,0,1,55.6,0.37,0,46.77
v37,brand_A,37,story,5.01,1,0,11.9,0.31,0,58.17
v38,brand_A,38,pattern_interrupt,2.19,0,1,56.7,0.7,1,54.41
v39,brand_A,39,bold_claim,3.26,1,0,15.1,0.71,4,50.04
v40,brand_B,0,bold_claim,6.67,0,1,53.1,0.91,1,74.53
v41,brand_B,1,pattern_interrupt,3.37,1,1,12.9,0.58,2,67.34
v42,brand_B,2,question,2.09,1,0,51.6,0.86,0,42.91
v43,brand_B,3,question,6.8,1,1,58.2,0.46,4,52.39
v44,brand_B,4,product_first,3.88,0,0,15.2,0.13,1,34.62
v45,brand_B,5,question,3.79,0,1,46.7,0.25,1,55.08
v46,brand_B,6,story,1.57,0,0,43.8,0.06,1,41.8
v47,brand_B,7,question,5.62,0,0,57.7,0.74,4,39.43
v48,brand_B,8,story,3.94,1,1,26.5,0.76,0,65.5
v49,brand_B,9,question,3.18,1,1,17.1,0.02,1,61.39
v50,brand_B,10,story,4.31,0,1,30.6,0.4,1,62.57
v51,brand_B,11,story,5.79,1,1,57.1,0.94,3,67.03
v52,brand_B,12,pattern_interrupt,6.61,1,1,37.8,0.13,4,66.31
v53,brand_B,13,pattern_interrupt,6.74,1,1,18.7,0.27,3,62.27
v54,brand_B,14,bold_claim,1.27,1,0,25.5,0.66,4,75.08
v55,brand_B,15,product_first,5.85,1,0,56.7,0.04,0,50.41
v56,brand_B,16,story,7.77,1,1,30.0,0.57,2,61.83
v57,brand_B,17,bold_claim,2.75,1,1,53.1,0.56,3,84.93
v58,brand_B,18,question,5.76,0,0,20.4,0.38,0,59.95
v59,brand_B,19,story,7.27,0,1,8.6,0.91,3,60.87
v60,brand_B,20,question,3.24,1,0,57.4,0.57,4,51.67
v61,brand_B,21,product_first,5.71,1,0,49.2,0.79,4,43.46
v62,brand_B,22,story,4.46,0,1,36.6,0.44,4,56.01
v63,brand_B,23,product_first,5.82,1,1,53.1,0.84,4,57.5
v64,brand_B,24,bold_claim,3.78,0,1,15.6,0.51,2,97.15
v65,brand_B,25,product_first,2.66,0,0,38.8,0.35,3,52.02
v66,brand_B,26,pattern_interrupt,6.44,1,0,30.1,0.91,2,52.78
v67,brand_B,27,bold_claim,6.19,1,0,50.8,0.74,2,61.64
v68,brand_B,28,story,2.66,0,0,32.8,0.08,0,49.78
v69,brand_B,29,story,2.77,0,1,11.9,0.17,0,58.97
v70,brand_B,30,question,5.39,1,0,54.9,0.05,3,37.57
v71,brand_B,31,story,2.94,1,1,32.1,0.35,1,63.83
v72,brand_B,32,product_first,1.54,0,1,59.3,0.7,0,47.51
v73,brand_B,33,story,5.79,0,0,55.4,0.82,1,32.19
v74,brand_B,34,pattern_interrupt,6.08,0,0,29.7,0.93,1,43.45
v75,brand_B,35,question,6.44,1,1,59.2,0.38,1,56.64
v76,brand_B,36,question,7.79,0,0,51.6,0.47,2,39.92
v77,brand_B,37,story,8.0,1,0,36.9,0.77,4,49.28
v78,brand_B,38,bold_claim,6.95,0,0,31.4,0.13,2,63.16
v79,brand_B,39,question,5.7,1,1,26.6,0.11,1,57.14
v80,brand_C,0,bold_claim,4.64,1,0,35.0,0.85,3,68.75
v81,brand_C,1,question,5.13,0,0,29.9,0.78,1,55.35
v82,brand_C,2,pattern_interrupt,2.49,1,1,8.8,0.35,1,96.37
v83,brand_C,3,pattern_interrupt,7.33,1,0,34.7,0.78,3,96.03
v84,brand_C,4,bold_claim,7.04,0,0,15.6,0.93,1,52.36
v85,brand_C,5,bold_claim,3.3,0,0,20.5,0.08,0,45.36
v86,brand_C,6,pattern_interrupt,1.97,1,1,17.5,0.35,2,89.06
v87,brand_C,7,bold_claim,5.21,0,0,50.7,0.35,1,50.92
v88,brand_C,8,story,1.22,1,0,35.8,0.36,1,49.3
v89,brand_C,9,pattern_interrupt,1.28,0,0,40.7,0.08,2,63.66
v90,brand_C,10,story,1.02,1,0,12.4,0.6,3,49.44
v91,brand_C,11,bold_claim,6.32,1,1,45.5,0.06,2,43.03
v92,brand_C,12,pattern_interrupt,5.99,0,0,34.6,0.53,4,72.4
v93,brand_C,13,pattern_interrupt,2.7,0,0,27.6,0.02,0,79.77
v94,brand_C,14,question,2.48,1,1,14.2,0.89,3,51.67
v95,brand_C,15,question,4.49,0,1,35.9,0.59,0,60.59
